event,is_goal,period,time,distance,angle,is_rebound,is_pass_before,is_cross_line,is_one_touch,is_fast_attack
Shot Attempt - Wide left,false,1,1071.6,17.4,44.492970939085225,false,false,false,false,false
Shot Attempt - Blocked,false,1,519.2,12.9,46.69464706853716,false,false,false,false,false
Shot Attempt - Deflected,false,2,742.9,20.6,59.28470582855713,false,false,false,false,false
Shot Attempt - Blocked,false,1,210.1,16.6,5.419532499182105,false,true,false,true,false
Shot Attempt - Deflected,false,2,599.1,20.1,64.22156913781079,false,false,false,false,false
Shot Attempt - Blocked,false,3,313.4,7.6,0.6715681249009563,false,false,false,false,false
Shot Attempt - Blocked,false,1,473.4,23.7,54.61067966909348,false,false,false,false,false
Shot Attempt - Wide right,false,3,157.0,14.3,58.17255342332689,false,true,false,true,false
Shot Attempt - Blocked,false,1,69.7,20.7,63.69016218853062,false,false,false,false,false
Shot Attempt - Lower right,true,1,879.5,3.6,32.195733934713246,false,false,true,false,false
Shot Attempt - Wide right,false,2,736.6,9.6,65.9125476913677,false,false,true,false,false
Shot Attempt - Deflected,false,3,759.4,2.5,26.56505117707799,false,false,true,false,false
Shot Attempt - Wide right,false,2,258.0,20.7,62.02841541861858,false,false,false,false,false
Shot Attempt - Wide left,false,1,794.0,19.5,61.38954033403479,false,false,false,false,false
Shot Attempt - Wide right,false,2,196.0,3.0,46.46880071438583,true,false,false,true,false
Shot Attempt - Bottom middle,false,1,933.6,11.4,41.42366562500265,false,false,false,false,false
Shot Attempt - Blocked,false,1,219.8,14.5,35.21759296819271,false,false,false,false,false
Shot Attempt - Over the net,false,1,253.1,12.6,32.053490484363074,false,false,true,true,false
Shot Attempt - Deflected,false,1,516.5,14.3,56.42710159394514,false,false,false,false,false
Shot Attempt - Blocked,false,1,315.0,12.0,68.99677728856574,false,true,true,true,false
Shot Attempt - Wide left,false,2,552.7,9.8,27.14968169778317,false,false,false,true,false
Shot Attempt - Blocked,false,1,806.4,18.6,55.59152774797138,false,false,false,false,true
Shot Attempt - Deflected,false,1,410.7,21.6,59.03624346792648,false,false,false,false,false
Shot Attempt - Wide left,false,1,411.2,10.3,65.41842551743132,true,false,false,true,false
Shot Attempt - Blocked,false,1,837.1,21.7,63.434948822922,false,false,false,false,false
Shot Attempt - Wide left,false,1,567.4,4.2,49.84400037508068,false,false,false,true,false
Shot Attempt - Blocked,false,2,19.8,4.6,88.75463573323165,false,true,false,true,false
Shot Attempt - Blocked,false,1,503.8,13.0,59.11505466927138,false,false,false,true,false
Shot Attempt - Blocked,false,2,91.5,12.1,36.45092317958131,false,false,false,false,false
Shot Attempt - Over the net,false,1,65.2,12.3,79.69515353123396,false,false,false,false,false
Shot Attempt - Deflected,false,2,112.7,22.1,56.23444400714209,false,false,false,false,false
Shot Attempt - Blocked,false,1,1133.3,17.7,65.17945866451092,false,false,false,false,false
Shot Attempt - Wide right,false,3,795.4,28.8,75.70774492257844,false,false,false,false,false
Shot Attempt - Deflected,false,3,155.7,10.1,43.70783311375007,false,false,false,false,false
Shot Attempt - Deflected,false,2,843.1,12.8,57.094757077012105,false,false,false,false,false
Shot Attempt - Blocked,false,2,31.8,20.7,61.69924423399362,false,false,false,false,false
Shot Attempt - Blocked,false,1,1177.4,7.7,36.20945681718606,false,true,false,true,false
Shot Attempt - Blocked,false,2,140.3,15.4,87.0262689175199,false,false,true,false,true
Shot Attempt - Upper right,true,2,143.2,1.7,59.03624346792648,false,true,true,true,false
Shot Attempt - Blocked,false,2,178.5,12.1,48.012787504183336,false,false,false,false,false
Shot Attempt - Blocked,false,2,705.6,21.9,60.99830057611187,false,false,false,false,false
Shot Attempt - Blocked,false,3,557.1,12.9,40.17923392190735,false,false,false,true,false
Shot Attempt - Deflected,false,1,494.6,10.0,22.770378908762215,false,false,false,false,false
Shot Attempt - Upper left,true,1,356.2,10.3,3.2154839917482096,false,false,false,false,false
